frameNo,left,top,w,h,conf,lat,long,alt
650,41.0,1009.0,40.0,28.0,0.0,23.055987,72.506014,132.736
651,50.0,1010.0,41.0,28.0,0.0,23.055987,72.506014,132.73
652,62.0,1011.0,42.0,28.0,0.0,23.055987,72.506014,132.73
653,80.0,1010.0,43.0,28.0,0.0,23.055987,72.506014,132.73
654,89.75,1010.5,42.0,28.0,0.0,23.055987,72.506014,132.72725
655,99.5,1011.0,41.0,28.0,0.0,23.055987,72.506014,132.72449999999998
656,109.25,1011.5,40.0,28.0,0.0,23.055987,72.506014,132.72175
657,119.0,1012.0,39.0,28.0,0.0,23.055987,72.506014,132.719
658,130.0,1010.0,42.0,29.0,0.0,23.055987,72.506014,132.719
659,139.8125,1010.3125,42.0,29.3125,0.0,23.055987,72.506014,132.7179375
660,149.625,1010.625,42.0,29.625,0.0,23.055987,72.506014,132.716875
661,159.4375,1010.9375,42.0,29.9375,0.0,23.055987,72.506014,132.7158125
662,169.25,1011.25,42.0,30.25,0.0,23.055987,72.506014,132.71474999999998
663,179.0625,1011.5625,42.0,30.5625,0.0,23.055987,72.506014,132.7136875
664,188.875,1011.875,42.0,30.875,0.0,23.055987,72.506014,132.712625
665,198.6875,1012.1875,42.0,31.1875,0.0,23.055987,72.506014,132.71156249999999
666,208.5,1012.5,42.0,31.5,0.0,23.055987,72.506014,132.7105
667,218.3125,1012.8125,42.0,31.8125,0.0,23.055987,72.506014,132.7094375
668,228.125,1013.125,42.0,32.125,0.0,23.055987,72.506014,132.708375
669,237.9375,1013.4375,42.0,32.4375,0.0,23.055987,72.506014,132.7073125
670,247.75,1013.75,42.0,32.75,0.0,23.055987,72.506014,132.70625
671,257.5625,1014.0625,42.0,33.0625,0.0,23.055987,72.506014,132.7051875
672,267.375,1014.375,42.0,33.375,0.0,23.055987,72.506014,132.704125
673,277.1875,1014.6875,42.0,33.6875,0.0,23.055987,72.506014,132.7030625
674,287.0,1015.0,42.0,34.0,0.0,23.055987,72.506014,132.702
675,295.0,1015.0,43.0,35.0,0.0,23.055987,72.506014,132.697
676,305.04761904761904,1014.6666666666666,42.76190476190476,34.857142857142854,0.0,23.055987,72.506014,132.69638095238096
677,315.0952380952381,1014.3333333333334,42.523809523809526,34.714285714285715,0.0,23.055987,72.506014,132.6957619047619
678,325.14285714285717,1014.0,42.285714285714285,34.57142857142857,0.0,23.055987,72.506014,132.69514285714286
679,335.1904761904762,1013.6666666666666,42.04761904761905,34.42857142857143,0.0,23.055987,72.506014,132.69452380952382
680,345.23809523809524,1013.3333333333334,41.80952380952381,34.285714285714285,0.0,23.055987,72.506014,132.69390476190478
681,355.2857142857143,1013.0,41.57142857142857,34.142857142857146,0.0,23.055987,72.506014,132.6932857142857
