frameNo,left,top,w,h,conf,lat,long,alt
917,3750.0,1126.0,86.0,60.0,0.0,23.055988,72.506015,132.627
918,3739.0,1124.0,96.0,63.0,0.0,23.055988,72.506015,132.627
919,3731.0,1124.0,105.0,64.0,0.0,23.055988,72.506015,132.627
920,3719.0,1124.0,116.0,65.0,0.0,23.055988,72.506015,132.621
921,3705.0,1123.0,127.0,67.0,0.0,23.055988,72.506015,132.621
922,3692.0,1123.0,136.0,69.0,0.0,23.055988,72.506015,132.621
923,3681.0,1124.0,139.0,68.0,0.0,23.055988,72.506015,132.621
924,3669.0,1125.0,139.0,67.0,0.0,23.055988,72.506015,132.621
925,3658.0,1126.0,140.0,65.0,0.0,23.055988,72.506015,132.621
926,3643.0,1127.0,142.0,64.0,0.0,23.055988,72.506015,132.615
927,3632.0,1128.0,142.0,63.0,0.0,23.055988,72.506015,132.615
928,3623.0,1129.0,141.0,62.0,0.0,23.055988,72.506015,132.615
929,3612.0,1129.0,140.0,61.0,0.0,23.055988,72.506015,132.615
930,3601.0,1129.0,140.0,60.0,0.0,23.055988,72.506015,132.615
931,3588.0,1130.0,142.0,60.0,0.0,23.055988,72.506015,132.615
932,3579.0,1131.0,142.0,60.0,0.0,23.055988,72.506015,132.609
933,3570.0,1131.0,140.0,60.0,0.0,23.055988,72.506015,132.609
934,3561.0,1131.0,138.0,60.0,0.0,23.055988,72.506015,132.609
935,3549.0,1130.0,137.0,61.0,0.0,23.055988,72.506015,132.609
936,3540.0,1131.0,136.0,60.0,0.0,23.055988,72.506015,132.609
937,3524.0,1130.0,139.0,62.0,0.0,23.055988,72.506015,132.609
938,3511.0,1129.0,140.0,62.0,0.0,23.055988,72.506015,132.605
939,3501.0,1128.0,141.0,63.0,0.0,23.055988,72.506015,132.605
940,3495.0,1130.0,138.0,62.0,0.0,23.055988,72.506015,132.605
941,3489.0,1132.0,135.0,61.0,0.0,23.055988,72.506015,132.605
942,3476.0,1131.0,134.0,60.0,0.0,23.055988,72.506015,132.605
943,3470.0,1131.0,129.0,61.0,0.0,23.055988,72.506015,132.605
944,3457.0,1132.0,132.0,61.0,0.0,23.055988,72.506015,132.604
945,3446.0,1131.0,133.0,62.0,0.0,23.055988,72.506015,132.604
946,3435.0,1133.0,133.0,61.0,0.0,23.055988,72.506015,132.604
947,3425.0,1133.0,131.0,61.0,0.0,23.055988,72.506015,132.604
948,3414.8333333333335,1133.6666666666667,131.5,60.5,0.0,23.055988,72.506015,132.60233333333335
949,3404.6666666666665,1134.3333333333333,132.0,60.0,0.0,23.055988,72.506015,132.60066666666668
950,3394.5,1135.0,132.5,59.5,0.0,23.055988,72.506015,132.599
951,3384.3333333333335,1135.6666666666667,133.0,59.0,0.0,23.055988,72.506015,132.59733333333332
952,3374.1666666666665,1136.3333333333333,133.5,58.5,0.0,23.055988,72.506015,132.59566666666666
953,3364.0,1137.0,134.0,58.0,0.0,23.055988,72.506015,132.594
954,3356.0,1137.25,131.0,58.25,0.0,23.055988,72.506015,132.59375
955,3348.0,1137.5,128.0,58.5,0.0,23.055988,72.506015,132.5935
956,3340.0,1137.75,125.0,58.75,0.0,23.055988,72.506015,132.59324999999998
957,3332.0,1138.0,122.0,59.0,0.0,23.055988,72.506015,132.593
