frameNo,left,top,w,h,conf,lat,long,alt
558,1694.0,2.0,100.0,88.0,0.0,23.055987,72.506015,133.219
559,1692.0,3.0,104.0,95.0,0.0,23.055987,72.506015,133.219
560,1693.0,3.0,106.0,102.0,0.0,23.055987,72.506015,133.219
561,1694.0,3.0,108.0,109.0,0.0,23.055987,72.506015,133.219
562,1694.0,4.0,111.0,117.0,0.0,23.055987,72.506015,133.223
563,1695.0,4.0,114.0,124.0,0.0,23.055987,72.506015,133.223
564,1697.0,4.0,114.0,130.0,0.0,23.055987,72.506015,133.223
565,1697.0,4.0,117.0,138.0,0.0,23.055987,72.506015,133.223
566,1697.0,4.0,119.0,145.0,0.0,23.055987,72.506015,133.223
567,1699.0,4.0,119.0,151.0,0.0,23.055987,72.506015,133.223
568,1699.0,4.0,121.0,159.0,0.0,23.055987,72.506015,133.23
569,1700.0,5.0,122.0,167.0,0.0,23.055987,72.506015,133.23
570,1702.0,7.0,123.0,173.0,0.0,23.055987,72.506015,133.23
571,1705.0,12.0,123.0,178.0,0.0,23.055987,72.506015,133.23
572,1706.0,17.0,124.0,181.0,0.0,23.055987,72.506015,133.23
573,1708.0,22.0,124.0,184.0,0.0,23.055987,72.506015,133.23
574,1712.0,28.0,122.0,185.0,0.0,23.055987,72.506015,133.234
575,1716.0,35.0,122.0,186.0,0.0,23.055987,72.506015,133.234
576,1720.0,41.0,120.0,186.0,0.0,23.055987,72.506015,133.234
577,1724.0,49.0,120.0,186.0,0.0,23.055987,72.506015,133.234
578,1727.0,57.0,120.0,186.0,0.0,23.055987,72.506015,133.234
579,1731.0,65.0,117.0,186.0,0.0,23.055987,72.506015,133.234
580,1733.0,72.0,116.0,187.0,0.0,23.055987,72.506015,133.242
581,1736.0,79.0,114.0,188.0,0.0,23.055987,72.506015,133.242
582,1739.0,86.0,114.0,189.0,0.0,23.055987,72.506015,133.242
583,1742.0,93.0,113.0,189.0,0.0,23.055987,72.506015,133.242
584,1746.0,101.0,113.0,188.0,0.0,23.055987,72.506015,133.242
585,1748.0,109.0,113.0,188.0,0.0,23.055987,72.506015,133.242
586,1750.0,117.0,113.0,187.0,0.0,23.055987,72.506015,133.245
587,1752.0,123.0,114.0,187.0,0.0,23.055987,72.506015,133.245
588,1753.0,129.0,115.0,186.0,0.0,23.055987,72.506015,133.245
589,1757.0,135.0,114.0,186.0,0.0,23.055987,72.506015,133.245
590,1760.0,142.0,112.0,186.0,0.0,23.055987,72.506015,133.245
591,1762.0,149.0,113.0,186.0,0.0,23.055987,72.506015,133.245
592,1765.0,155.0,114.0,187.0,0.0,23.055987,72.506015,133.247
593,1766.0,161.0,115.0,187.0,0.0,23.055987,72.506015,133.247
594,1769.0,168.0,114.0,186.0,0.0,23.055987,72.506015,133.247
595,1771.0,177.0,115.0,186.0,0.0,23.055987,72.506015,133.247
596,1773.0,183.0,116.0,185.0,0.0,23.055987,72.506015,133.247
597,1776.0,190.0,115.0,185.0,0.0,23.055987,72.506015,133.247
598,1777.0,196.0,116.0,185.0,0.0,23.055987,72.506015,133.247
599,1779.0,204.0,116.0,184.0,0.0,23.055987,72.506015,133.247
600,1781.0,211.0,117.0,183.0,0.0,23.055987,72.506015,133.247
601,1783.0,216.0,117.0,183.0,0.0,23.055987,72.506015,133.247
602,1785.0,223.0,115.0,181.0,0.0,23.055987,72.506015,133.247
603,1787.0,229.0,115.0,178.0,0.0,23.055987,72.506015,133.247
604,1789.0,234.0,115.0,178.0,0.0,23.055987,72.506015,133.248
605,1792.0,243.0,115.0,175.0,0.0,23.055987,72.506015,133.248
606,1794.0,250.0,116.0,174.0,0.0,23.055987,72.506015,133.248
607,1797.0,255.0,116.0,174.0,0.0,23.055987,72.506015,133.248
608,1801.0,261.0,114.0,175.0,0.0,23.055987,72.506015,133.248
609,1804.0,267.0,112.0,174.0,0.0,23.055987,72.506015,133.248
610,1808.0,273.0,109.0,175.0,0.0,23.055987,72.506014,133.244
611,1810.0,279.0,109.0,175.0,0.0,23.055987,72.506014,133.244
612,1810.0,282.0,109.0,178.0,0.0,23.055987,72.506014,133.244
613,1812.0,287.0,109.0,179.0,0.0,23.055987,72.506014,133.244
614,1815.0,297.0,107.0,177.0,0.0,23.055987,72.506014,133.244
615,1817.0,304.0,106.5,175.5,0.0,23.055987,72.506014,133.24475
616,1819.0,311.0,106.0,174.0,0.0,23.055987,72.506014,133.2455
617,1821.0,318.0,105.5,172.5,0.0,23.055987,72.506014,133.24625
618,1823.0,325.0,105.0,171.0,0.0,23.055987,72.506014,133.247
619,1824.0,332.0,107.0,169.0,0.0,23.055987,72.506014,133.247
620,1826.0,337.0,108.0,168.0,0.0,23.055987,72.506014,133.247
621,1829.0,341.0,107.0,167.0,0.0,23.055987,72.506014,133.247
622,1830.142857142857,345.85714285714283,107.57142857142857,168.14285714285714,0.0,23.055987,72.506014,133.2467142857143
623,1831.2857142857142,350.7142857142857,108.14285714285714,169.28571428571428,0.0,23.055987,72.506014,133.2464285714286
624,1832.4285714285713,355.57142857142856,108.71428571428571,170.42857142857142,0.0,23.055987,72.506014,133.24614285714287
625,1833.5714285714287,360.42857142857144,109.28571428571429,171.57142857142858,0.0,23.055987,72.506014,133.24585714285715
626,1834.7142857142858,365.2857142857143,109.85714285714286,172.71428571428572,0.0,23.055987,72.506014,133.24557142857142
627,1835.857142857143,370.1428571428571,110.42857142857143,173.85714285714286,0.0,23.055987,72.506014,133.24528571428573
628,1837.0,375.0,111.0,175.0,0.0,23.055987,72.506014,133.245
629,1838.0,379.0,111.0,175.0,0.0,23.055987,72.506014,133.245
630,1840.0,383.0,111.0,175.0,0.0,23.055987,72.506014,133.245
631,1841.0,388.0,113.0,174.0,0.0,23.055987,72.506014,133.245
632,1843.0,395.0,114.0,173.0,0.0,23.055987,72.506014,133.245
633,1846.0,401.0,114.0,173.0,0.0,23.055987,72.506014,133.245
634,1848.0,405.0,115.0,174.0,0.0,23.055987,72.506014,133.248
635,1849.0,409.0,116.0,175.0,0.0,23.055987,72.506014,133.248
636,1851.0,413.0,115.0,175.0,0.0,23.055987,72.506014,133.248
637,1852.0,418.0,116.0,175.0,0.0,23.055987,72.506014,133.248
638,1854.0,422.0,116.0,176.0,0.0,23.055987,72.506014,133.248
639,1855.0,427.0,116.0,175.0,0.0,23.055987,72.506014,133.248
640,1857.0,431.0,116.0,176.0,0.0,23.055987,72.506014,133.246
641,1859.0,436.0,116.0,176.0,0.0,23.055987,72.506014,133.246
642,1860.0,440.0,115.0,177.0,0.0,23.055987,72.506014,133.246
643,1861.0,444.0,116.0,177.0,0.0,23.055987,72.506014,133.246
644,1862.0,448.0,116.0,176.0,0.0,23.055987,72.506014,133.246
645,1865.0,453.0,116.0,176.0,0.0,23.055987,72.506014,133.246
646,1866.0,458.0,117.0,177.0,0.0,23.055987,72.506014,133.247
647,1867.0,462.0,117.0,177.0,0.0,23.055987,72.506014,133.247
648,1869.0,466.0,117.0,177.0,0.0,23.055987,72.506014,133.247
649,1870.0,470.0,117.0,176.0,0.0,23.055987,72.506014,133.247
650,1871.0,474.0,117.0,177.0,0.0,23.055987,72.506014,133.247
651,1874.0,478.0,117.0,177.0,0.0,23.055987,72.506014,133.247
652,1876.0,483.0,117.0,177.0,0.0,23.055987,72.506014,133.243
653,1877.0,489.0,117.0,175.0,0.0,23.055987,72.506014,133.243
654,1877.0,494.0,118.0,175.0,0.0,23.055987,72.506014,133.243
655,1879.0,499.0,118.0,174.0,0.0,23.055987,72.506014,133.243
656,1881.0,503.0,117.0,174.0,0.0,23.055987,72.506014,133.243
657,1882.0,509.0,117.0,172.0,0.0,23.055987,72.506014,133.243
658,1883.0,514.0,117.0,172.0,0.0,23.055987,72.506014,133.244
659,1885.0,519.0,116.0,171.0,0.0,23.055987,72.506014,133.244
