frameNo,left,top,w,h,conf,lat,long,alt
1338,2.0,893.0,59.0,64.0,0.0,23.055987,72.506014,133.242
1339,1.0,890.0,63.0,68.0,0.0,23.055987,72.506014,133.242
1340,2.0,890.0,68.0,70.0,0.0,23.055987,72.506014,133.242
1341,2.0,889.0,75.0,73.0,0.0,23.055987,72.506014,133.242
1342,5.0,887.0,82.0,74.0,0.0,23.055987,72.506014,133.24
1343,5.0,886.0,90.0,75.0,0.0,23.055987,72.506014,133.24
1344,4.0,886.0,98.0,76.0,0.0,23.055987,72.506014,133.24
1345,4.0,885.0,105.0,78.0,0.0,23.055987,72.506014,133.24
1346,5.0,886.0,113.0,78.0,0.0,23.055987,72.506014,133.24
1347,5.0,887.0,120.0,78.0,0.0,23.055987,72.506014,133.24
1348,4.0,886.0,128.0,79.0,0.0,23.055987,72.506014,133.245
1349,5.0,885.0,134.0,79.0,0.0,23.055987,72.506014,133.245
1350,7.0,885.0,141.0,78.0,0.0,23.055987,72.506014,133.245
1351,10.0,887.0,146.0,76.0,0.0,23.055987,72.506014,133.245
1352,14.0,888.0,150.0,76.0,0.0,23.055987,72.506014,133.245
1353,19.0,888.0,153.0,75.0,0.0,23.055987,72.506014,133.249
1354,25.0,888.0,155.0,74.0,0.0,23.055987,72.506015,133.249
1355,32.0,887.0,155.0,74.0,0.0,23.055987,72.506015,133.249
1356,41.0,887.0,155.0,73.0,0.0,23.055987,72.506015,133.249
1357,49.0,888.0,153.0,72.0,0.0,23.055987,72.506014,133.249
1358,55.0,888.0,153.0,71.0,0.0,23.055987,72.506014,133.249
1359,62.0,887.0,153.0,71.0,0.0,23.055987,72.506014,133.249
1360,69.0,887.0,153.0,71.0,0.0,23.055987,72.506015,133.249
1361,75.0,887.0,154.0,71.0,0.0,23.055987,72.506015,133.249
1362,81.0,887.0,153.0,72.0,0.0,23.055987,72.506015,133.249
1363,88.0,887.0,154.0,72.0,0.0,23.055987,72.506015,133.249
1364,97.0,888.0,152.0,71.0,0.0,23.055987,72.506015,133.249
1365,105.0,889.0,150.0,69.0,0.0,23.055987,72.506015,133.249
1366,111.0,888.0,150.0,69.0,0.0,23.055987,72.506015,133.249
1367,119.0,889.0,150.0,69.0,0.0,23.055987,72.506015,133.249
1368,125.0,889.0,151.0,69.0,0.0,23.055987,72.506015,133.249
1369,131.0,889.0,150.0,70.0,0.0,23.055987,72.506015,133.249
