frameNo,left,top,w,h,conf,lat,long,alt
92,2314.0,615.0,50.0,58.0,0.0,23.055988,72.506015,132.918
93,2313.25,617.0,49.0,58.5,0.0,23.055988,72.50601475,132.9135
94,2312.5,619.0,48.0,59.0,0.0,23.055988,72.50601449999999,132.909
95,2311.75,621.0,47.0,59.5,0.0,23.055988,72.50601424999999,132.9045
96,2311.0,623.0,46.0,60.0,0.0,23.055988,72.506014,132.9
97,2312.0,625.0,43.0,58.0,0.0,23.055988,72.506014,132.9
98,2313.0,628.0,40.0,56.0,0.0,23.055988,72.506014,132.9
99,2315.0,632.0,38.0,55.0,0.0,23.055988,72.506014,132.9
100,2314.0,636.0,38.0,52.0,0.0,23.055988,72.506014,132.9
101,2313.6666666666665,638.5,37.333333333333336,51.333333333333336,0.0,23.055988,72.506014,132.89916666666667
102,2313.3333333333335,641.0,36.666666666666664,50.666666666666664,0.0,23.055988,72.506014,132.89833333333334
103,2313.0,643.5,36.0,50.0,0.0,23.055988,72.506014,132.8975
104,2312.6666666666665,646.0,35.333333333333336,49.333333333333336,0.0,23.055988,72.506014,132.89666666666668
105,2312.3333333333335,648.5,34.666666666666664,48.666666666666664,0.0,23.055988,72.506014,132.89583333333334
106,2312.0,651.0,34.0,48.0,0.0,23.055988,72.506014,132.895
107,2312.0,652.0,33.0,48.0,0.0,23.055988,72.506014,132.888
108,2312.0,651.0,33.0,45.0,0.0,23.055988,72.506014,132.888
109,2311.0,657.0,33.0,49.0,0.0,23.055988,72.506014,132.888
110,2311.0,660.0,32.0,50.0,0.0,23.055988,72.506014,132.888
111,2310.0,660.0,33.0,52.0,0.0,23.055988,72.506014,132.888
112,2311.0,663.0,32.0,54.0,0.0,23.055988,72.506014,132.888
113,2310.0,663.0,32.0,53.0,0.0,23.055988,72.506014,132.885
114,2310.0,664.0,33.0,53.0,0.0,23.055988,72.506014,132.885
115,2310.0,665.0,33.0,53.0,0.0,23.055988,72.506014,132.885
116,2310.0,666.0,33.0,54.0,0.0,23.055988,72.506014,132.885
117,2310.0,668.0,32.0,53.0,0.0,23.055988,72.506014,132.885
118,2310.0,671.0,32.0,55.0,0.0,23.055988,72.506014,132.885
119,2310.0,672.0,33.0,55.0,0.0,23.055988,72.506014,132.888
120,2310.0,672.0,32.0,53.0,0.0,23.055988,72.506014,132.888
121,2310.0,675.0,32.0,53.0,0.0,23.055988,72.506014,132.888
122,2310.0,676.0,32.0,53.0,0.0,23.055988,72.506014,132.888
123,2310.0,684.0,31.0,50.0,0.0,23.055988,72.506014,132.888
124,2310.0,687.0,32.0,50.0,0.0,23.055988,72.506014,132.888
125,2310.0,690.0,32.0,47.0,0.0,23.055988,72.506014,132.893
126,2311.0,693.0,31.0,46.0,0.0,23.055988,72.506014,132.893
127,2311.0,696.0,31.0,46.0,0.0,23.055988,72.506014,132.893
128,2311.0,698.0,31.0,45.0,0.0,23.055988,72.506014,132.893
129,2311.0,701.0,31.0,46.0,0.0,23.055988,72.506014,132.893
130,2311.0,703.0,31.0,45.0,0.0,23.055988,72.506014,132.893
131,2312.0,703.0,32.0,43.0,0.0,23.055989,72.506014,132.898
132,2312.0,706.0,31.0,44.0,0.0,23.055989,72.506014,132.898
133,2311.0,706.0,33.0,46.0,0.0,23.055989,72.506014,132.898
134,2312.0,711.0,33.0,44.0,0.0,23.055989,72.506014,132.898
135,2312.0,713.0,33.0,45.0,0.0,23.055989,72.506014,132.898
136,2312.0,712.0,33.0,46.0,0.0,23.055989,72.506014,132.898
137,2312.0,717.0,34.0,49.0,0.0,23.055989,72.506014,132.905
138,2312.0,716.0,35.0,48.0,0.0,23.055989,72.506014,132.905
139,2314.0,720.0,35.0,48.0,0.0,23.055989,72.506014,132.905
140,2316.0,721.0,35.0,48.0,0.0,23.055989,72.506014,132.905
141,2316.0,723.0,35.0,47.0,0.0,23.055989,72.506014,132.905
142,2318.0,725.0,34.0,45.0,0.0,23.055989,72.506014,132.905
143,2323.0,734.0,35.0,47.0,0.0,23.055989,72.506014,132.906
144,2325.0,740.0,36.0,47.0,0.0,23.055989,72.506014,132.906
145,2326.0,741.0,36.0,47.0,0.0,23.055989,72.506014,132.906
146,2328.0,745.0,37.0,47.0,0.0,23.055988,72.506014,132.906
147,2330.0,747.0,36.0,47.0,0.0,23.055988,72.506014,132.906
148,2331.0,748.0,36.0,49.0,0.0,23.055988,72.506014,132.906
149,2331.0,749.0,38.0,50.0,0.0,23.055988,72.506014,132.907
150,2334.0,752.0,37.0,49.0,0.0,23.055988,72.506014,132.907
151,2337.0,754.0,37.0,48.0,0.0,23.055988,72.506014,132.907
152,2338.0,757.0,38.0,47.0,0.0,23.055988,72.506015,132.907
153,2342.0,761.0,37.0,47.0,0.0,23.055988,72.506015,132.907
154,2344.0,763.0,37.0,46.0,0.0,23.055988,72.506015,132.907
155,2347.0,767.0,38.0,47.0,0.0,23.055988,72.506014,132.909
156,2349.0,768.0,38.0,46.0,0.0,23.055988,72.506014,132.909
157,2354.0,772.0,37.0,47.0,0.0,23.055988,72.506014,132.909
