frameNo,left,top,w,h,conf,lat,long,alt
1841,119.0,890.0,54.0,31.0,0.0,23.055987,72.506015,133.04
1842,131.0,890.0,53.0,31.0,0.0,23.055987,72.506015,133.04
1843,142.0,890.0,52.0,31.0,0.0,23.055987,72.506015,133.04
1844,151.5,889.75,51.75,30.5,0.0,23.055987,72.506015,133.03924999999998
1845,161.0,889.5,51.5,30.0,0.0,23.055987,72.506015,133.0385
1846,170.5,889.25,51.25,29.5,0.0,23.055987,72.506015,133.03775000000002
1847,180.0,889.0,51.0,29.0,0.0,23.055987,72.506015,133.037
1848,190.0,889.0,51.0,29.0,0.0,23.055987,72.506015,133.037
1849,200.0,889.0,52.0,29.0,0.0,23.055987,72.506015,133.037
1850,208.0,888.0,53.0,29.0,0.0,23.055987,72.506015,133.037
1851,216.0,887.4347826086956,53.34782608695652,29.08695652173913,0.0,23.055987043478257,72.506015,133.03639130434783
1852,224.0,886.8695652173913,53.69565217391305,29.17391304347826,0.0,23.05598708695652,72.506015,133.03578260869565
1853,232.0,886.304347826087,54.04347826086956,29.26086956521739,0.0,23.05598713043478,72.506015,133.03517391304348
1854,240.0,885.7391304347826,54.391304347826086,29.347826086956523,0.0,23.055987173913042,72.506015,133.0345652173913
1855,248.0,885.1739130434783,54.73913043478261,29.434782608695652,0.0,23.0559872173913,72.506015,133.03395652173913
1856,256.0,884.6086956521739,55.08695652173913,29.52173913043478,0.0,23.055987260869564,72.506015,133.03334782608695
1857,264.0,884.0434782608696,55.434782608695656,29.608695652173914,0.0,23.055987304347823,72.506015,133.03273913043478
1858,272.0,883.4782608695652,55.78260869565217,29.695652173913043,0.0,23.055987347826086,72.506015,133.0321304347826
1859,280.0,882.9130434782609,56.130434782608695,29.782608695652172,0.0,23.055987391304345,72.506015,133.03152173913043
1860,288.0,882.3478260869565,56.47826086956522,29.869565217391305,0.0,23.055987434782608,72.506015,133.03091304347825
1861,296.0,881.7826086956521,56.82608695652174,29.956521739130434,0.0,23.055987478260867,72.506015,133.03030434782607
1862,304.0,881.2173913043479,57.17391304347826,30.043478260869566,0.0,23.05598752173913,72.506015,133.02969565217393
1863,312.0,880.6521739130435,57.52173913043478,30.130434782608695,0.0,23.05598756521739,72.506015,133.02908695652175
1864,320.0,880.0869565217391,57.869565217391305,30.217391304347828,0.0,23.055987608695652,72.506015,133.02847826086958
1865,328.0,879.5217391304348,58.21739130434783,30.304347826086957,0.0,23.05598765217391,72.506015,133.0278695652174
1866,336.0,878.9565217391304,58.565217391304344,30.391304347826086,0.0,23.055987695652174,72.506015,133.02726086956523
1867,344.0,878.3913043478261,58.91304347826087,30.47826086956522,0.0,23.055987739130433,72.506015,133.02665217391305
1868,352.0,877.8260869565217,59.26086956521739,30.565217391304348,0.0,23.055987782608696,72.506015,133.02604347826087
1869,360.0,877.2608695652174,59.608695652173914,30.652173913043477,0.0,23.055987826086955,72.506015,133.0254347826087
1870,368.0,876.695652173913,59.95652173913044,30.73913043478261,0.0,23.055987869565218,72.506015,133.02482608695652
1871,376.0,876.1304347826087,60.30434782608695,30.82608695652174,0.0,23.055987913043477,72.506015,133.02421739130435
1872,384.0,875.5652173913044,60.65217391304348,30.91304347826087,0.0,23.05598795652174,72.506015,133.02360869565217
1873,392.0,875.0,61.0,31.0,0.0,23.055988,72.506015,133.023
1874,401.25,874.75,60.5,30.75,0.0,23.055988,72.506015,133.0205
1875,410.5,874.5,60.0,30.5,0.0,23.055988,72.506015,133.018
1876,419.75,874.25,59.5,30.25,0.0,23.055988,72.506015,133.0155
1877,429.0,874.0,59.0,30.0,0.0,23.055988,72.506015,133.013
1878,438.0,872.0,60.0,31.0,0.0,23.055988,72.506015,133.013
1879,444.6,872.0,59.8,30.8,0.0,23.055988,72.506015,133.012
1880,451.2,872.0,59.6,30.6,0.0,23.055988,72.506015,133.011
1881,457.8,872.0,59.4,30.4,0.0,23.055988,72.506015,133.01000000000002
1882,464.4,872.0,59.2,30.2,0.0,23.055988,72.506015,133.00900000000001
1883,471.0,872.0,59.0,30.0,0.0,23.055988,72.506015,133.008
1884,479.0,870.0,59.0,31.0,0.0,23.055988,72.506015,133.008
1885,487.0,866.0,57.0,32.0,0.0,23.055988,72.506015,133.008
1886,493.6,865.2,56.4,32.2,0.0,23.055988,72.506015,133.0068
1887,500.2,864.4,55.8,32.4,0.0,23.055988,72.506015,133.00560000000002
1888,506.8,863.6,55.2,32.6,0.0,23.055988,72.506015,133.0044
1889,513.4,862.8,54.6,32.8,0.0,23.055988,72.506015,133.00320000000002
1890,520.0,862.0,54.0,33.0,0.0,23.055988,72.506015,133.002
1891,523.0,861.0,56.0,34.0,0.0,23.055988,72.506015,133.002
1892,530.1666666666666,860.8333333333334,56.416666666666664,34.0,0.0,23.055988,72.506015,133.00058333333334
1893,537.3333333333334,860.6666666666666,56.833333333333336,34.0,0.0,23.055988,72.506015,132.99916666666667
1894,544.5,860.5,57.25,34.0,0.0,23.055988,72.506015,132.99775
1895,551.6666666666666,860.3333333333334,57.666666666666664,34.0,0.0,23.055988,72.506015,132.99633333333335
1896,558.8333333333334,860.1666666666666,58.083333333333336,34.0,0.0,23.055988,72.506015,132.99491666666668
1897,566.0,860.0,58.5,34.0,0.0,23.055988,72.506015,132.9935
1898,573.1666666666666,859.8333333333334,58.916666666666664,34.0,0.0,23.055988,72.506015,132.99208333333334
1899,580.3333333333334,859.6666666666666,59.333333333333336,34.0,0.0,23.055988,72.506015,132.99066666666667
1900,587.5,859.5,59.75,34.0,0.0,23.055988,72.506015,132.98925000000003
1901,594.6666666666666,859.3333333333334,60.166666666666664,34.0,0.0,23.055988,72.506015,132.98783333333336
1902,601.8333333333334,859.1666666666666,60.583333333333336,34.0,0.0,23.055988,72.506015,132.98641666666668
1903,609.0,859.0,61.0,34.0,0.0,23.055988,72.506015,132.985
1904,614.0,858.0,60.0,34.0,0.0,23.055988,72.506015,132.985
1905,621.0,858.0,58.0,33.0,0.0,23.055988,72.506015,132.977
1906,628.0,858.0,56.0,32.0,0.0,23.055988,72.506015,132.977
1907,631.0,857.0,55.0,32.0,0.0,23.055988,72.506015,132.977
1908,635.0,858.0,52.0,31.0,0.0,23.055988,72.506015,132.977
1909,645.0,858.0,53.0,30.666666666666668,0.0,23.055988,72.50601466666667,132.97333333333333
1910,655.0,858.0,54.0,30.333333333333332,0.0,23.055988,72.50601433333333,132.96966666666668
1911,665.0,858.0,55.0,30.0,0.0,23.055988,72.506014,132.966
1912,671.0,858.0,55.0,31.0,0.0,23.055988,72.506014,132.966
1913,681.0,858.0,53.0,30.0,0.0,23.055988,72.506014,132.966
1914,686.0,859.0,51.0,29.0,0.0,23.055988,72.506014,132.966
1915,695.0,859.0,50.0,29.0,0.0,23.055988,72.506014,132.966
1916,703.0,856.0,51.0,29.0,0.0,23.055988,72.506014,132.966
1917,712.0,856.0,51.0,29.0,0.0,23.055988,72.506014,132.962
1918,719.0,858.0,51.0,28.0,0.0,23.055988,72.506014,132.962
1919,725.0,858.0,50.0,28.0,0.0,23.055988,72.506014,132.962
1920,730.0,857.0,50.0,29.0,0.0,23.055988,72.506014,132.962
1921,734.0,857.0,52.0,29.0,0.0,23.055988,72.506014,132.962
1922,742.0,854.0,52.0,29.0,0.0,23.055988,72.506014,132.962
1923,750.0,853.0,51.0,29.0,0.0,23.055988,72.506014,132.95
1924,757.0,855.0,52.0,28.0,0.0,23.055988,72.506014,132.95
1925,764.0,855.0,52.0,28.0,0.0,23.055988,72.506014,132.95
1926,769.0,854.0,51.0,29.0,0.0,23.055988,72.506014,132.95
1927,776.0,855.0,49.0,28.0,0.0,23.055988,72.506014,132.95
1928,783.0,855.0,48.0,28.0,0.0,23.055988,72.506014,132.95
1929,791.0,852.0,49.0,29.0,0.0,23.055988,72.506014,132.939
1930,796.0,853.0,50.0,30.0,0.0,23.055988,72.506014,132.939
1931,806.0,852.0,49.0,29.0,0.0,23.055988,72.506014,132.939
1932,814.0,853.0,49.0,28.0,0.0,23.055988,72.506014,132.939
1933,820.0,854.0,49.0,28.0,0.0,23.055988,72.506014,132.939
1934,826.0,854.0,49.0,28.0,0.0,23.055988,72.506014,132.939
1935,833.0,854.0,48.0,28.0,0.0,23.055987,72.506014,132.931
1936,844.0,851.0,49.0,28.0,0.0,23.055987,72.506014,132.931
1937,853.0,850.0,50.0,28.0,0.0,23.055987,72.506014,132.931
1938,860.0,850.0,49.0,29.0,0.0,23.055987,72.506014,132.931
1939,870.0,850.0,49.0,29.0,0.0,23.055987,72.506014,132.931
1940,878.0,848.0,48.0,29.0,0.0,23.055987,72.506014,132.931
1941,883.0,848.0,50.0,30.0,0.0,23.055987,72.506014,132.921
1942,893.0,847.0,48.0,29.0,0.0,23.055987,72.506014,132.921
1943,901.0,846.0,48.0,29.0,0.0,23.055987,72.506014,132.921
1944,906.0,846.0,49.0,30.0,0.0,23.055987,72.506014,132.921
1945,915.0,846.0,48.0,29.0,0.0,23.055987,72.506014,132.921
1946,921.0,845.0,48.0,30.0,0.0,23.055987,72.506014,132.921
1947,926.0,844.0,50.0,30.0,0.0,23.055987,72.506014,132.917
1948,935.0,845.0,49.0,30.0,0.0,23.055987,72.506014,132.917
1949,944.0,846.0,49.0,30.0,0.0,23.055987,72.506014,132.917
1950,952.0,845.0,49.0,30.0,0.0,23.055988,72.506014,132.917
1951,961.0,844.0,49.0,31.0,0.0,23.055988,72.506014,132.917
1952,968.0,845.0,48.0,30.0,0.0,23.055988,72.506014,132.917
1953,976.0,844.0,47.0,30.0,0.0,23.055988,72.506014,132.912
1954,984.0,844.0,47.0,30.0,0.0,23.055988,72.506014,132.912
1955,992.0,844.0,48.0,29.0,0.0,23.055988,72.506014,132.912
1956,1003.0,843.0,47.0,30.0,0.0,23.055988,72.506014,132.912
1957,1010.0,843.0,47.0,30.0,0.0,23.055988,72.506014,132.912
1958,1020.0,842.0,46.0,29.0,0.0,23.055988,72.506014,132.912
1959,1024.0,841.0,47.0,29.0,0.0,23.055988,72.506014,132.904
1960,1033.0,842.0,46.0,28.0,0.0,23.055988,72.506014,132.904
1961,1041.0,842.0,46.0,28.0,0.0,23.055988,72.506014,132.904
1962,1049.0,844.0,48.0,28.0,0.0,23.055988,72.506014,132.904
1963,1056.0,844.0,47.0,28.0,0.0,23.055988,72.506014,132.904
1964,1061.0,846.0,47.0,26.0,0.0,23.055988,72.506014,132.904
1965,1072.0,842.0,47.0,27.0,0.0,23.055988,72.506014,132.901
1966,1082.0,841.0,46.0,27.0,0.0,23.055988,72.506014,132.901
1967,1092.0,841.0,49.0,28.0,0.0,23.055988,72.506014,132.901
1968,1100.0,841.0,51.0,29.0,0.0,23.055988,72.506014,132.901
1969,1107.0,840.0,51.0,29.0,0.0,23.055988,72.506014,132.901
1970,1114.0,838.0,50.0,29.0,0.0,23.055988,72.506014,132.901
1971,1124.0,835.0,49.0,30.0,0.0,23.055988,72.506014,132.898
1972,1133.0,835.0,48.0,29.0,0.0,23.055988,72.506014,132.898
1973,1142.0,833.0,49.0,30.0,0.0,23.055988,72.506014,132.898
1974,1151.0,834.0,49.0,30.0,0.0,23.055988,72.506014,132.898
1975,1158.0,832.0,50.0,31.0,0.0,23.055988,72.506014,132.898
1976,1168.0,831.0,52.0,30.0,0.0,23.055988,72.506014,132.898
1977,1176.0,831.0,52.0,31.0,0.0,23.055988,72.506014,132.891
1978,1185.0,832.0,52.0,30.0,0.0,23.055988,72.506014,132.891
1979,1195.0,832.0,51.0,31.0,0.0,23.055988,72.506014,132.891
1980,1203.0,830.0,50.0,31.0,0.0,23.055988,72.506014,132.891
1981,1211.0,828.0,47.0,32.0,0.0,23.055988,72.506014,132.891
1982,1222.0,827.0,49.0,31.0,0.0,23.055988,72.506014,132.891
1983,1230.0,827.0,50.0,31.0,0.0,23.055988,72.506014,132.882
1984,1240.0,827.0,50.0,30.0,0.0,23.055988,72.506014,132.882
1985,1251.0,826.0,49.0,30.0,0.0,23.055988,72.506014,132.882
1986,1258.0,824.0,49.0,30.0,0.0,23.055988,72.506014,132.882
1987,1266.0,824.0,49.0,30.0,0.0,23.055988,72.506014,132.882
1988,1270.0,823.0,49.0,30.0,0.0,23.055988,72.506014,132.882
1989,1279.0,823.0,50.0,30.0,0.0,23.055988,72.506014,132.873
1990,1289.0,823.0,53.0,31.0,0.0,23.055988,72.506014,132.873
1991,1299.0,822.0,53.0,31.0,0.0,23.055988,72.506014,132.873
1992,1308.0,821.0,50.0,31.0,0.0,23.055988,72.506014,132.873
1993,1321.0,820.0,49.0,31.0,0.0,23.055988,72.506014,132.873
1994,1329.0,819.0,47.0,31.0,0.0,23.055988,72.506014,132.873
1995,1338.0,818.0,48.0,31.0,0.0,23.055988,72.506014,132.867
1996,1347.0,818.0,49.0,32.0,0.0,23.055988,72.506014,132.867
1997,1356.0,816.0,48.0,33.0,0.0,23.055988,72.506014,132.867
1998,1369.0,814.0,46.0,32.0,0.0,23.055988,72.506014,132.867
1999,1382.0,811.0,44.0,32.0,0.0,23.055988,72.506014,132.867
